Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,4194304,9,1485188853,1485188861,8
Integral,4194304,10,1485188861,1485188869,8
Integral,4194304,11,1485188869,1485188878,9
Integral,4194304,12,1485188878,1485188886,8
Integral,4194304,13,1485188886,1485188894,8
Integral,4194304,14,1485188894,1485188903,9
Integral,4194304,15,1485188903,1485188911,8
Integral,4194304,16,1485188911,1485188919,8
Integral,8388608,1,1485188919,1485188928,9
Integral,8388608,2,1485188928,1485188936,8
Integral,8388608,3,1485188936,1485188945,9
Integral,8388608,4,1485188945,1485188953,8
Integral,8388608,5,1485188953,1485188961,8
Integral,8388608,6,1485188961,1485188970,9
Integral,8388608,7,1485188970,1485188978,8
Integral,8388608,8,1485188978,1485188986,8
Integral,8388608,9,1485188986,1485188994,8
Integral,8388608,10,1485188994,1485189003,9
Integral,8388608,11,1485189003,1485189012,9
Integral,8388608,12,1485189012,1485189020,8
Integral,8388608,13,1485189020,1485189028,8
Integral,8388608,14,1485189028,1485189037,9
Integral,8388608,15,1485189037,1485189045,8
Integral,8388608,16,1485189045,1485189053,8
Integral,16777216,1,1485189053,1485189062,9
Integral,16777216,2,1485189062,1485189070,8
Integral,16777216,3,1485189070,1485189079,9
Integral,16777216,4,1485189079,1485189087,8
Integral,16777216,5,1485189087,1485189096,9
Integral,16777216,6,1485189096,1485189105,9
Integral,16777216,7,1485189105,1485189113,8
Integral,16777216,8,1485189113,1485189122,9
Integral,16777216,9,1485189122,1485189131,9
Integral,16777216,10,1485189131,1485189139,8
Integral,16777216,11,1485189139,1485189148,9
Integral,16777216,12,1485189148,1485189156,8
Integral,16777216,13,1485189156,1485189165,9
Integral,16777216,14,1485189165,1485189173,8
Integral,16777216,15,1485189173,1485189182,9
Integral,16777216,16,1485189182,1485189191,9
Integral,33554432,1,1485189191,1485189200,9
Integral,33554432,2,1485189200,1485189209,9
Integral,33554432,3,1485189209,1485189218,9
Integral,33554432,4,1485189218,1485189228,10
Integral,33554432,5,1485189228,1485189237,9
Integral,33554432,6,1485189237,1485189246,9
Integral,33554432,7,1485189246,1485189255,9
Integral,33554432,8,1485189255,1485189264,9
Integral,33554432,9,1485189264,1485189273,9
Integral,33554432,10,1485189273,1485189282,9
Integral,33554432,11,1485189282,1485189291,9
Integral,33554432,12,1485189291,1485189300,9
Integral,33554432,13,1485189300,1485189310,10
Integral,33554432,14,1485189310,1485189319,9
Integral,33554432,15,1485189319,1485189328,9
Integral,33554432,16,1485189328,1485189337,9
Integral,67108864,1,1485189337,1485189346,9
Integral,67108864,2,1485189346,1485189356,10
Integral,67108864,3,1485189356,1485189366,10
Integral,67108864,4,1485189366,1485189377,11
Integral,67108864,5,1485189377,1485189387,10
Integral,67108864,6,1485189387,1485189397,10
Integral,67108864,7,1485189397,1485189407,10
Integral,67108864,8,1485189407,1485189416,9
Integral,67108864,9,1485189416,1485189427,11
Integral,67108864,10,1485189427,1485189436,9
Integral,67108864,11,1485189436,1485189446,10
Integral,67108864,12,1485189446,1485189455,9
Integral,67108864,13,1485189455,1485189465,10
Integral,67108864,14,1485189465,1485189476,11
Integral,67108864,15,1485189476,1485189486,10
Integral,67108864,16,1485189486,1485189496,10
Integral,134217728,1,1485189496,1485189506,10
Integral,134217728,2,1485189506,1485189517,11
Integral,134217728,3,1485189517,1485189530,13
Integral,134217728,4,1485189530,1485189542,12
Integral,134217728,5,1485189542,1485189554,12
Integral,134217728,6,1485189554,1485189566,12
Integral,134217728,7,1485189566,1485189577,11
Integral,134217728,8,1485189577,1485189590,13
Integral,134217728,9,1485189590,1485189603,13
Integral,134217728,10,1485189603,1485189616,13
Integral,134217728,11,1485189616,1485189626,10
Integral,134217728,12,1485189626,1485189638,12
Integral,134217728,13,1485189638,1485189650,12
Integral,134217728,14,1485189650,1485189661,11
Integral,134217728,15,1485189661,1485189673,12
Integral,134217728,16,1485189673,1485189685,12
Integral,268435456,1,1485189685,1485189700,15
Integral,268435456,2,1485189700,1485189712,12
Integral,268435456,3,1485189712,1485189732,20
Integral,268435456,4,1485189732,1485189749,17
Integral,268435456,5,1485189749,1485189767,18
Integral,268435456,6,1485189767,1485189782,15
Integral,268435456,7,1485189782,1485189797,15
Integral,268435456,8,1485189797,1485189816,19
Integral,268435456,9,1485189816,1485189832,16
Integral,268435456,10,1485189832,1485189847,15
Integral,268435456,11,1485189847,1485189859,12
Integral,268435456,12,1485189859,1485189876,17
Integral,268435456,13,1485189876,1485189891,15
Integral,268435456,14,1485189891,1485189907,16
Integral,268435456,15,1485189907,1485189923,16
Integral,268435456,16,1485189923,1485189939,16
Integral,536870912,1,1485189939,1485189963,24
Integral,536870912,2,1485189963,1485189983,20
Integral,536870912,3,1485189983,1485190000,17
Integral,536870912,4,1485190000,1485190021,21
Integral,536870912,5,1485190021,1485190048,27
Integral,536870912,6,1485190048,1485190064,16
Integral,536870912,7,1485190064,1485190091,27
Integral,536870912,8,1485190091,1485190117,26
Integral,536870912,9,1485190117,1485190134,17
Integral,536870912,10,1485190134,1485190158,24
Integral,536870912,11,1485190158,1485190174,16
Integral,536870912,12,1485190174,1485190190,16
Integral,536870912,13,1485190190,1485190207,17
Integral,536870912,14,1485190207,1485190235,28
Integral,536870912,15,1485190235,1485190257,22
Integral,536870912,16,1485190257,1485190281,24
